,measure,Date_day,value,site_id,latitude,longitude
170,Ambient Air Temperature,2019-11-23,16.821666666666665,1003,-37.8023,144.960923
171,Relative Humidity,2019-11-23,58.87291666666667,1003,-37.8023,144.960923
172,Particulate Air Pollution (2.5 µm),2019-11-23,7.316666666666666,1004,-37.800575,144.964635
173,Particulate Air Pollution (10 µm),2019-11-23,32.237500000000004,1004,-37.800575,144.964635
174,Ambient Air Temperature,2019-11-23,16.075,1004,-37.800575,144.964635
175,Relative Humidity,2019-11-23,58.123333333333335,1004,-37.800575,144.964635
176,Particulate Air Pollution (2.5 µm),2019-11-23,5.4624999999999995,1005,-37.800629,144.965052
177,Particulate Air Pollution (10 µm),2019-11-23,31.291666666666668,1005,-37.800629,144.965052
178,Ambient Air Temperature,2019-11-23,15.986666666666666,1005,-37.800629,144.965052
179,Relative Humidity,2019-11-23,58.104166666666664,1005,-37.800629,144.965052
180,Particulate Air Pollution (2.5 µm),2019-11-24,8.0625,1001,-37.800793,144.966492
181,Particulate Air Pollution (10 µm),2019-11-24,35.81666666666667,1001,-37.800793,144.966492
182,Ambient Air Temperature,2019-11-24,18.386666666666667,1001,-37.800793,144.966492
183,Relative Humidity,2019-11-24,50.22416666666667,1001,-37.800793,144.966492
184,Particulate Air Pollution (2.5 µm),2019-11-24,8.004166666666666,1002,-37.800524,144.964122
185,Particulate Air Pollution (10 µm),2019-11-24,34.62083333333333,1002,-37.800524,144.964122
186,Ambient Air Temperature,2019-11-24,17.736666666666668,1002,-37.800524,144.964122
187,Relative Humidity,2019-11-24,56.53541666666666,1002,-37.800524,144.964122
188,Particulate Air Pollution (2.5 µm),2019-11-24,7.633333333333333,1003,-37.8023,144.960923
189,Particulate Air Pollution (10 µm),2019-11-24,32.045833333333334,1003,-37.8023,144.960923
190,Ambient Air Temperature,2019-11-24,17.675,1003,-37.8023,144.960923
191,Relative Humidity,2019-11-24,57.665416666666665,1003,-37.8023,144.960923
192,Particulate Air Pollution (2.5 µm),2019-11-24,8.420833333333333,1004,-37.800575,144.964635
193,Particulate Air Pollution (10 µm),2019-11-24,36.18333333333333,1004,-37.800575,144.964635
194,Ambient Air Temperature,2019-11-24,17.049583333333334,1004,-37.800575,144.964635
195,Relative Humidity,2019-11-24,56.57541666666666,1004,-37.800575,144.964635
196,Particulate Air Pollution (2.5 µm),2019-11-24,6.4375,1005,-37.800629,144.965052
197,Particulate Air Pollution (10 µm),2019-11-24,34.87083333333333,1005,-37.800629,144.965052
198,Ambient Air Temperature,2019-11-24,16.9025,1005,-37.800629,144.965052
199,Relative Humidity,2019-11-24,56.70208333333333,1005,-37.800629,144.965052
200,Particulate Air Pollution (2.5 µm),2019-11-25,6.945833333333333,1001,-37.800793,144.966492
